kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_steff,koi_srad,koi_slogg,koi_kepmag
"K06414.01","FALSE POSITIVE",5.627911313,7.08223,434329,0.464,81.61,6280.00,1.1150,4.361,13.858
"K06415.01","FALSE POSITIVE",0.62927655,0.9698,839.5,0.98,4.64,5628.00,0.9760,4.388,14.027
"K06416.01","FALSE POSITIVE",1.22578134,2.235,99376,0.985,53.32,5780.00,1.0000,4.438,17.431
"K06417.01","FALSE POSITIVE",0.751408792,2.2974,17481,1.242,41.48,5697.00,0.9030,4.460,15.596
"K06418.01","FALSE POSITIVE",0.866344816,1.9188,233.6,0.318,6.85,4936.00,4.5270,3.055,12.945
"K06419.01","FALSE POSITIVE",2.24294107,2.532,39.4,0.23,0.75,6082.00,1.1840,4.195,13.182
"K06535.01","FALSE POSITIVE",0.950487062,2.9283,11.5,0.907,1.35,8107.00,3.3850,3.698,11.633
"K06536.01","FALSE POSITIVE",5.579631021,3.38646,118321,1.323,90.32,6188.00,1.0220,4.427,15.473
"K06537.01","FALSE POSITIVE",21.37831102,21.7174,80571,0.257,97.23,4905.00,3.4840,3.300,13.998
"K06539.01","FALSE POSITIVE",0.541396363,2.384,181,0.0783,2.04,7118.00,1.4890,4.212,12.509
"K06540.01","FALSE POSITIVE",0.550509602,1.1836,123.5,0.386,5.02,4891.00,4.5290,3.169,13.355
"K06541.01","FALSE POSITIVE",2.404293523,4.4649,8150.9,1.364,888.7,4697.00,17.0320,2.204,13.094
"K06669.01","FALSE POSITIVE",25.836831272,6.32201,145045,0.899,50.72,5691.00,0.8970,4.477,13.347
"K06670.01","FALSE POSITIVE",0.94895231,3.952,57.7,0.738,2.51,6661.00,3.0670,3.666,12.669
"K06671.01","FALSE POSITIVE",11.702203927,2.75173,28998.7,0.967,57.95,6148.00,2.1330,3.793,13.393
"K06673.01","FALSE POSITIVE",3.722775537,14.3309,107594,0.626,90.36,5425.00,2.5920,3.678,12.746
"K06674.01","FALSE POSITIVE",1.245342215,4.40308,234086,0.728,90.34,6967.00,1.4760,4.250,12.142
"K06675.01","FALSE POSITIVE",0.604755462,1.3741,334.5,0.039,1.29,4842.00,0.7260,4.616,15.553
